,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,302.15,79,40,4.6,TO,1607812104
1,hermanus,-34.42,19.23,288.71,88,51,0.89,ZA,1607812104
2,ushtobe,45.25,77.98,256.75,89,0,1.72,KZ,1607812104
3,puerto ayora,-0.74,-90.35,301.15,61,0,7.2,EC,1607812036
4,celestun,20.87,-90.4,298.43,68,74,4.72,MX,1607812104
5,georgetown,5.41,100.34,298.15,94,20,1.0,MY,1607811931
6,caravelas,-17.71,-39.25,297.36,79,0,3.77,BR,1607812105
7,ushuaia,-54.8,-68.3,283.15,71,75,11.8,AR,1607812105
8,japura,-0.32,102.35,296.65,94,100,1.32,ID,1607812105
9,airai,-8.93,125.41,290.04,100,100,0.57,TL,1607812105
10,chuy,-33.7,-53.46,294.65,64,87,4.43,UY,1607812105
11,rognan,67.1,15.39,273.15,87,0,7.7,NO,1607812105
12,punta arenas,-53.15,-70.92,284.15,50,40,9.3,CL,1607812105
13,portland,45.52,-122.68,281.15,65,75,7.2,US,1607812046
14,rikitea,-23.12,-134.97,297.51,79,100,7.02,PF,1607812106
15,lata,40.16,-8.33,288.15,91,99,0.45,PT,1607812106
16,new norfolk,-42.78,147.06,293.15,50,82,0.89,AU,1607812106
17,alice springs,-23.7,133.88,297.15,78,90,2.6,AU,1607812106
18,atuona,-9.8,-139.03,299.04,72,2,7.85,PF,1607812106
19,pisco,-13.7,-76.22,295.15,73,0,9.3,PE,1607811874
20,mataura,-46.19,168.86,285.37,67,100,6.26,NZ,1607812106
21,russell,32.35,-85.2,295.15,56,75,3.1,US,1607812107
22,craig,40.52,-107.55,268.15,73,90,7.7,US,1607812107
